a2ps 4.14-12
coordgen 3.0.0-1
coreutils 9.1-1
cowfortune 0.1.2-7
cowsay 3.04-2
cpio 2.13-2
cpufetch-git 1.02.r1.g52ba038-1
cracklib 2.9.7-2
cronie 1.6.1-1
cryfs 0.11.2-3
crypto++ 8.6.0-2
cryptsetup 2.4.3-2
ctemplate 2.4-2
cups 1:2.4.2-3
cups-filters 1.28.15-1
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-5
curl 7.83.1-1
curseradio-git r16.5dbc5c5-1
cxxmatrix-git r67.f338ed4-1
darkhttpd 1.13-1
dash 0.5.11.5-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
dconf-editor 3.38.3-1
ddcutil 1.2.2-2
ddrescue 1.26-1
deadbeef 1.9.1-1
deadbeef-mpris2-plugin 1.14-1
deb2targz 0.1-7
debtap 3.5.1-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
devilutionx 1.4.0-2
dex 0.9.0-1
dhclient 4.4.3-1
dialog 1:1.3_20220526-1
diffutils 3.8-1
ding-libs 0.6.2-1
discord 0.0.18-1
discount 2.2.7.b-1
djvulibre 3.5.28-3
dkms 3.0.3-1
dmenu 5.1-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-2
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
doge 3.5.0-7
dolphin 22.04.2-1
dosbox 0.74.3-2
dosfstools 4.2-2
double-conversion 3.2.0-1
downgrade 11.2.1-1
drbl 2.30.5-1
dtc 1.6.1-4
duf-bin 0.6.2-2
e2fsprogs 1.46.5-3
ebook-tools 0.2.2-7
eclipse-ecj 4.22-2
ecryptfs-utils 111-5
edid-decode-git r625.cc1aeb0-1
editorconfig-core-c 0.12.5-1
edk2-armvirt 202205-1
edk2-ovmf 202205-1
edk2-shell 202205-1
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.10-1
eglexternalplatform 1.1-2
electron 18.2.4-1
electron11 11.5.0-5
electron13 13.6.9-3
electron15 15.5.4-1
electron17 17.4.3-1
electron6 6.1.12-6
electron9 9.4.4-5
element-desktop 1.10.14-1
element-web 1.10.14-1
elfutils 0.187-1
encfs 1.9.5-5
enchant 2.3.3-1
endeavouros-keyring 20220523-3
endeavouros-mirrorlist 4.4.3-1
endpoint-verification 2021.07.22.c386220900_00-3
erofs-utils 1.5-2
etcher-bin 1.7.9-1
ethtool 1:5.17-1
evince 42.3-1
exfatprogs 1.1.3-1
exiv2 0.27.5-3
exo 4.16.4-1
expac 10-5
expat 2.4.8-1
extra-cmake-modules 5.95.0-1
f2fs-tools 1.15.0-1
faac 1.30-3
faad2 2.10.0-1
faba-icon-theme-git 329.6d7ebd2-1
fakeroot 1.29-1
farstream 0.2.9-3
faudio 22.06-1
feh 3.9-1
ffmpeg 2:5.0.1-2
ffmpeg4.4 4.4.2-2
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-3
figlet 2.2.5-4
file 5.42-1
file-roller 3.42.0-1
filesystem 2021.12.07-1
findutils 4.9.0-1
