a2ps 4.14-12
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-4
libcloudproviders 0.3.1-2
libcmis 0.5.2-10
libcolord 1.4.6-1
libconfig 1.7.3-1
libcroco 0.6.13-2
libcue 2.2.1-2
libcups 1:2.4.2-3
libcurl-compat 7.83.1-1
libcurl-gnutls 7.83.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk2 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-2
libdispatch 5.5.0-1
libdmtx 0.7.5-2
libdrm 2.4.111-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdcss 1.4.3-1
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libe-book 0.1.3-11
libebml 1.4.2-2
libebur128 1.2.6-1
libedit 20210910_3.1-1
libelf 0.187-1
libepoxy 1.5.10-1
libepubgen 0.1.1-3
libetonyek 0.1.10-1
libev 4.33-1
libevdev 1.12.1-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libfakekey 0.3-2
libfdk-aac 2.0.2-1
libffi 3.4.2-5
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libftdi 1.5-4
libgcrypt 1.10.1-1
libgcrypt15 1.5.6-6
libgdata 0.18.1-2
libgdiplus 5.6.1-3
libgee 0.20.5-2
libgexiv2 0.14.0-3
libgit2 1:1.4.3-1
libgksu 2.0.12-9
libglvnd 1.4.0-2
libgme 0.6.3-1
libgnome-keyring 3.12.0+13+g4f8ab73-3
libgnomekbd 1:3.26.1+r5+g54da436-1
libgpg-error 1.45-2
libgphoto2 2.5.29-1
libgpod 0.8.3-13
libgsf 1.14.49-1
libgssglue 0.4-4
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libguess 1.2-4
libgusb 0.3.10-2
libgxps 0.3.2-1
libhandy 1.6.2-1
libheif 1.12.0-3
libibus 1.5.26-2
libical 3.0.14-3
libice 1.0.10-4
libid3tag 0.15.1b-11
libidn 1.38-1
libidn11 1.33-2
libidn2 2.3.2-1
libiec61883 1.2.0-6
libieee1284 0.2.11-13
libimagequant 2.17.0-3
libimobiledevice 1.3.0-5
libindicator-gtk2 12.10.1-10
libindicator-gtk3 12.10.1-10
libinih 55-2
libinput 1.21.0-1
libinstpatch 1.1.6-1
libiscsi 1.19.0-2
libisl 0.24-4
libisoburn 1.5.4-2
libisofs 1.5.4-1
libixion 0.17.0-2
libjpeg-turbo 2.1.3-2
libjpeg6-turbo 1.5.3-2
libkate 0.4.1-8
libkdcraw 22.04.2-1
libkexiv2 22.04.2-1
libkgapi 22.04.2-1
libkipi 22.04.0-1
libkmahjongg 22.04.2-1
libkolabxml 1.1.6-18
libksane 22.04.2-1
libksba 1.6.0-1
liblangtag 0.6.3-3
liblastfm-qt5 1.1.0-1
libldac 2.0.2.3-1
libldap 2.6.2-2
liblouis 3.22.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.1-3
libmad 0.15.1b-9
libmanette 0.2.6-3
libmatroska 1.6.3-2
libmaxminddb 1.6.0-3
libmbim 1.26.4-1
libmd 1.0.4-1
libmfx 22.4.2-1
libmicrodns 0.2.0-1
libmicrohttpd 0.9.75-1
libmikmod 3.3.11.1-4
libmm-glib 1.18.8-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmpeg2 0.5.1-7
libmspub 0.1.4-12
libmsym 0.2.3-7
libmtp 1.1.19-1
libmusicbrainz5 5.1.0-4
libmwaw 0.3.21-2
libmygpo-qt5 1.1.0-3
libmypaint 1.6.1-1
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.21-8
libnfnetlink 1.0.2-1
libnfs 5.0.1-2
libnftnl 1.2.2-1
libnghttp2 1.47.0-1
libnice 0.1.19-1
libnl 3.6.0-3
libnm 1.38.0-1
libnm-glib 1.18.5dev+12+ga8746f48ca-1
libnma 1.8.38-1
libnma-common 1.8.38-1
libnotify 0.7.12-1
libnsl 2.0.0-2
libnumbertext 1.0.10-1
libodfgen 0.1.8-1
libofa 0.9.3-9
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenaptx 0.2.0-1
libopenmpt 0.6.4-1
libopenraw 0.3.1-1
liborcus 0.17.2-2
libosinfo 1.10.0-1
libotr 4.1.1-3
libp11-kit 0.24.1-1
libpackagekit-glib 1.2.5-1
libpagemaker 0.0.4-3
libpamac 11.3.1-1
libpamac-flatpak-plugin 11.3.1-1
libpamac-snap-plugin 11.3.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.16-3
libpgm 5.3.128-2
libphonenumber 1:8.12.50-2
libpipeline 1.5.6-1
libplacebo 4.192.1-3
libplist 2.2.0-5
libpng 1.6.37-3
libpng12 1.2.59-2
libproxy 0.4.17-7
libpsl 0.21.1-1
libpthread-stubs 0.4-1
libpulse 16.0-1
libpwquality 1.4.4-5
libqaccessibilityclient 0.4.1-2
libqalculate 4.2.0-1
libqmi 1.30.6-1
libqrtr-glib 1.2.2-2
libqxp 0.0.2-8
libraqm 0.9.0-1
libratbag 0.16-1
libraw 0.20.2-2
libraw1394 2.1.2-3
libreoffice-fresh 7.3.4-2
librevenge 0.0.4-4
librewolf-bin 101.0.1-1
librsvg 2:2.54.4-1
librsync 1:2.3.2-1
librtmp0 2.4-5
libsamplerate 0.2.2-1
libsasl 2.1.28-1
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-1
libsidplay 1.36.59-10
libsidplayfp 2.3.1-1
libsigc++ 2.10.8-1
libsignon-glib 2.1-5
libslirp 4.7.0-1
libsm 1.2.3-3
libsndfile 1.1.0-2
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.6-1
libsoxr 0.1.3-2
libspectre 0.2.10-1
libspeechd 0.11.1-3
libspiro 1:20200505-2
libsrtp 1:2.4.2-1
libssh 0.9.6-1
libssh2 1.10.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2022.62885-1
libsysprof-capture 3.44.0-1
libtar 1.2.20-6
libtasn1 4.18.0-1
libteam 1.31-5
libtg_owt 0.git13.63a934d-1
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-1
libtiff4 3.9.7-5
libtirpc 1.3.2-1
libtomcrypt 1.18.2-1
libtommath 1.2.0-3
libtool 2.4.7-2
libtorrent-rasterbar 1:2.0.6-2
libudev0-shim 1-4
libuninameslist 20211114-1
libunistring 1.0-1
libunwind 1.6.2-1
libupnp 1.14.12-3
liburcu 0.13.1-1
liburing 2.1-1
libusb 1.0.26-1
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libuv 1.43.0-1
libva 2.14.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvirt 1:8.4.0-1
libvirt-glib 4.0.0-1
libvirt-python 1:8.4.0-1
libvisio 0.1.7-7
libvisual 0.4.0-8
libvncserver 0.9.13-1
libvorbis 1.3.7-3
libvpx 1.11.0-2
libvpx1.3 1.3.0-3
libwacom 2.2.0-1
libwebp 1.2.2-1
libwmf 0.2.12-2
libwnck3 40.1-1
libwpd 0.10.3-3
libwpe 1.12.0-2
libwpg 0.3.3-3
libwps 0.4.12-1
libwrap 7.6.31-4
libx11 1.8.1-2
libx86emu 3.5-2
libxau 1.0.9-4
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.1-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft-bgra-git 2.3.4.r146.908a5e4-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxklavier 5.4-3
libxml2 2.9.14-1
libxmlb 0.3.9-1
libxmu 1.1.3-3
libxnvctrl 515.48.07-1
libxp 1.0.3-5
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxres 1.2.1-1
libxshmfence 1.3-3
libxslt 1.1.35-1
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.4-5
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzip 1.8.0-1
libzmf 0.0.2-12
licenses 20220125-1
lightdm 1:1.30.0-4
lilv 0.24.14-2
linux 5.18.3.arch1-1
linux-api-headers 5.17.5-2
linux-atm 2.5.2-7
linux-docs 5.18.3.arch1-1
linux-firmware 20220509.b19cbdc-1
linux-firmware-whence 20220509.b19cbdc-1
linux-headers 5.18.3.arch1-1
lirc 1:0.10.1-12
lld 13.0.1-1
llvm 13.0.1-6
llvm-libs 13.0.1-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.19.0-1
lolcat 100.0.1-1
lpsolve 5.5.2.11-1
lrzip 0.651-2
lsb-release 2.0.r48.3cf5103-1
lshw B.02.19.2-4
lsof 4.95.0-1
lsscsi 0.32-1
lua 5.4.4-1
lua51 5.1.5-9
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-7
luajit 2.1.0.beta3.r411.g68bb1140-1
luit 20220111-1
lutris 0.5.10.1-2
lv2 1.18.4-2
lvm2 2.03.16-1
lxappearance 0.6.3-4
lxmenu-data 0.1.5-3
lz4 1:1.9.3-2
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
maeparser 1.2.4-6
mailcap 2.1.53-1
mailspring 1.10.3-1
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
marble-common 22.04.2-2
mariadb 10.8.3-1
mariadb-clients 10.8.3-1
mariadb-libs 10.8.3-1
materia-gtk-theme 20210322-2
mbedtls 2.28.0-1
mc 4.8.28-1
mcg 3.0.1-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
meld 3.20.4-2
memtest86+ 5.31b-1
menu-cache 1.1.0-3
menumaker 0.99.14-2
mesa 22.1.1-2
mesa-demos 8.5.0-1
mesa-utils 8.5.0-1
meson 0.62.2-1
metis 5.1.0.p10-2
mingw-w64-binutils 2.38-3
mingw-w64-crt 10.0.0-1
mingw-w64-gcc 12.1.0-1
mingw-w64-headers 10.0.0-1
mingw-w64-winpthreads 10.0.0-1
minizip 1:1.2.12-2
mjpegtools 2.2.1-1
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mlt 7.6.0-2
mobile-broadband-provider-info 20220511-1
modemmanager 1.18.8-1
modemmanager-qt 5.95.0-1
moka-icon-theme-git 5.4.0-1
molequeue 0.9.0-2
mono 6.12.0.177-1
most 5.1.0-2
mozilla-common 1.4-6
mpc 0.34-2
mpfr 4.1.0.p13-2
mpg123 1.29.3-2
mpv 1:0.34.1-4
mtdev 1.1.6-2
mtools 1:4.0.40-1
mtpfs 1.1-4
mujs 1.2.0-2
multipath-tools 0.9.0-1
mypaint-brushes1 1.3.1-1
mypy 0.960-1
nano 6.3-1
nasm 2.15.05-1
nbd 3.24-1
ncmpcpp 0.9.2-7
ncurses 6.3-3
ndctl 73-1
ndisc6 1.0.5-1
neofetch 7.1.0-2
neomutt 20220429-1
neon 0.32.2-1
net-snmp 5.9.1-4
net-tools 2.10-1
netbeans 13-1
netpbm 10.73.37-1
nettle 3.8-1
network-manager-applet 1.28.0-1
networkmanager 1.38.0-1
networkmanager-openconnect 1.2.8-2
networkmanager-openvpn 1.8.18-2
networkmanager-pptp 1.2.10-2
networkmanager-qt 5.95.0-1
networkmanager-vpnc 1.2.8-2
nfs-utils 2.6.1-1
nfsidmap 2.6.1-1
nftables 1:1.0.4-1
nilfs-utils 2.2.8-2
ninja 1.11.0-1
nitrogen 1.6.1-4
nixieclock 1.64-2
nm-connection-editor 1.28.0-1
node-gyp 9.0.0-1
nodejs-lts-gallium 16.15.1-1
nodejs-nopt 5.0.0-2
notepadqq 1.4.8-6
notmuch-runtime 0.36-1
noto-fonts 20220502-3
npm 8.5.5-1
npth 1.6-3
nspr 4.34-1
nss 3.79-1
nss-mdns 0.15.1-1
ntfs-3g 2022.5.17-1
ntp 4.2.8.p15-1
numactl 2.0.14-3
numix-circle-arc-icons-git 20.1-1
numix-circle-icon-theme-git 22.05.22.r0.g7c658be-1
numix-gtk-theme-git 2.6.7.r55.ad4b345-1
numix-icon-theme-git 21.10.31.r4.gb6c134d72-1
numlockx 1.2-5
nvidia-utils 515.48.07-2
nvme-cli 2.0-2
oath-toolkit 2.6.7-1
obconf 2.0.4-7
obmenu-generator 0.90-2
obs-studio 27.2.4-1
ocl-icd 2.3.1-1
ocs-url 3.1.0-7
oh-my-zsh-git r6617.50550c70e-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
oniguruma 6.9.8-1
openal 1.22.0-1
openbabel 3.1.1-3
openbox 3.6.1-8
openbox-arc-git 20220614.r21.5ebdb7f-1
openbox-themes-pambudi-git r32.8bdf5de-1
opencl-headers 2:2022.05.18-1
openconnect 1:9.01-1
opencore-amr 0.1.5-5
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-1
openpmix 4.1.2-1
openresolv 3.12.0-1
openrgb 0.7-6
openssh 9.0p1-1
openssl 1.1.1.o-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.7-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-1
os-prober 1.79-1
osinfo-db 20220516-1
ostree 2022.4-1
oxy-neon 0-2
p11-kit 0.24.1-1
p7zip 1:17.04-3
packagekit 1.2.5-1
packagekit-qt5 1.0.2-1
pacman 6.0.1-5
pacman-contrib 1.5.3-1
pacman-mirrorlist 20220605-1
pacutils 0.11.1-1
pahole 1.23-1
pam 1.5.2-1
pamac-cli 10.4.1-1
pamac-gtk 10.4.1-1
pambase 20211210-1
pango 1:1.50.7-1
pango-perl 1.227-15
pangomm 2.46.2-1
paper 2.3-2
paper-icon-theme 1.5.0-2
papirus-icon-theme 20220606-1
partclone 0.3.20-1
parted 3.5-1
partimage 0.6.9-13
paru-bin 1.10.0-1
patch 2.7.6-8
patchelf 0.14.5-1
pavucontrol 1:5.0+r35+g964f298-1
pbzip2 1.1.13-3
pciutils 3.8.0-2
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.40-1
pcsclite 1.9.8-1
perl 5.36.0-1
perl-alien-build 2.48-3
perl-alien-libxml2 0.17-3
perl-cairo-gobject 1.004-12
perl-capture-tiny 0.48-6
perl-checkupdates-aur 0.04-1
perl-clone 0.45-4
perl-curses 1.38-2
perl-data-dump 1.25-3
perl-dbi 1.643-4
perl-encode-locale 1.05-9
perl-error 0.17029-4
perl-ffi-checklib 0.28-3
perl-file-chdir 0.1011-4
perl-file-listing 6.15-2
perl-file-which 1.27-2
perl-glib-object-introspection 0.049-3
perl-gtk3 0.038-2
perl-html-parser 3.78-2
perl-html-tagset 3.20-12
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-5
perl-http-message 6.36-2
perl-http-negotiate 6.01-10
perl-io-html 1.004-3
perl-io-socket-ssl 2.074-3
perl-ipc-run3 0.048-10
perl-json 4.06-1
perl-libwww 6.60-2
perl-linux-desktopfiles 0.25-2
perl-log-message 0.08-8
perl-log-message-simple 0.10-8
perl-lwp-mediatypes 6.04-2
perl-lwp-protocol-https 6.10-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-net-ssleay 1.90-3
perl-parse-yapp 1.21-5
perl-path-tiny 0.122-2
perl-term-animation 2.6-9
perl-term-readline-gnu 1.42-2
perl-term-ui 0.50-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.10-2
perl-www-aur 0.22-3
perl-www-robotrules 6.02-10
perl-xml-libxml 2.0207-3
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.900-1
pfetch 0.6.0-3
phodav 2.5-2
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
physfs 3.0.2-2
picom 9.1-3
pigz 2.7-1
pinentry 1.2.0-1
piper 0.6-2
pipes.sh 1.3.0-1
pipewire 1:0.3.52-2
pixman 0.40.0-2
pixz 1.0.7-2
pkcs11-helper 1.29.0-1
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-2
plex-media-server 1.26.2.5797-1
polkit 0.120-5
polkit-gnome 0.105-9
polkit-qt5 0.114.0-1
polybar 3.6.3-2
poppler 22.06.0-1
poppler-data 0.4.11-1
poppler-glib 22.06.0-1
poppler-qt5 22.06.0-1
popt 1.18-3
portaudio 1:19.7.0-1
portsmf 234-2
potrace 1.16-2
ppp 2.4.9-1
pptpclient 1.10.0-2
prison 5.95.0-1
procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
projectm 3.1.12-3
protobuf 21.1-1
proton-ge-custom-bin 1:GE_Proton7_20-1
psmisc 23.5-1
psutils 2.05-1
pugixml 1.12.1-1
pulseaudio 16.0-1
pulseaudio-alsa 1:1.2.6-3
pulseaudio-bluetooth 16.0-1
pulseaudio-qt 1.3-1
purpose 5.95.0-1
pycharm-community-edition 2022.1.2-1
python 3.10.5-1
python-anytree 2.8.0-5
python-apipkg 2.1.1-1
python-appdirs 1.4.4-6
python-attrs 21.4.0-1
python-automat 20.2.0-9
python-beaker 1.11.0-8
python-build 0.8.0-1
python-cairo 1.21.0-1
python-cairocffi 1.3.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-click 8.1.3-1
python-clickgen 1.2.0-1
python-constantly 15.1.0-11
python-dateutil 2.8.2-4
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-evdev 1.5.0-1
python-filelock 3.5.1-1
python-gobject 3.42.1-1
python-httplib2 0.20.3-1
python-hyperlink 21.0.0-4
python-i3ipc 2.2.1-3
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-incremental 21.3.0-5
python-iniconfig 1.1.1-5
python-installer 0.5.1-1
python-jaraco.context 4.1.1-2
python-jaraco.functools 3.5.0-2
python-jaraco.text 3.8.0-2
python-jedi 0.18.1-1
python-keyutils 0.6-8
python-lsp-jsonrpc 1.0.0-3
python-lsp-server 1.4.1-1
python-lxml 4.8.0-1
python-magic 5.40-3
python-mako 1.1.6-3
python-markdown 3.3.7-1
python-markupsafe 2.1.1-1
python-more-itertools 8.13.0-1
python-mypy_extensions 0.4.3-5
python-nspektr 0.4.0-1
python-numpy 1.22.4-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-parso 1:0.8.2-3
python-pep517 0.12.0-4
python-pillow 9.1.1-1
python-platformdirs 2.5.1-1
python-pluggy 1.0.0-1
python-ply 3.11-10
python-psutil 5.9.0-2
python-py 1.11.0-1
python-pycparser 2.21-3
python-pycups 2.0.1-5
python-pycurl 7.45.1-1
python-pyfiglet 0.8.post1-5
python-pygments 2.12.0-1
python-pyparsing 3.0.9-1
python-pyparted 3.11.7-2
python-pyqt5 5.15.6-7
python-pyqt5-sip 12.10.1-1
python-pytest 7.1.2-1
python-pytest-mypy 0.9.1-1
python-pywal 3.3.0-5
python-pyxdg 0.28-1
python-requests 2.27.1-1
python-setproctitle 1.2.3-1
python-setuptools 1:61.3.1-1
python-shiboken2 5.15.4-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-tqdm 4.64.0-1
python-trove-classifiers 2022.5.19-1
python-twisted 21.7.0-4
python-typed-ast 1.5.4-1
python-typing_extensions 4.2.0-1
python-ujson 5.3.0-1
python-urllib3 1.26.9-1
python-validate-pyproject 0.9-1
python-virtualenv 20.11.0-1
python-wheel 0.37.1-1
python-xapp 2.2.1-4
python-xcffib 0.11.1-4
python-xlib 0.31-3
python-yaml 6.0-1
python-zipp 3.8.0-2
python-zope-interface 5.4.0-4
python2 2.7.18-5
python2-appdirs 1.4.4-6
python2-ordered-set 3.1.1-4
python2-packaging 20.9-7
python2-pyparsing 2.4.7-6
python2-pyxdg 0.27-1
python2-setuptools 2:44.1.1-1
python2-setuptools-scm 5.0.2-4
python2-six 1.16.0-5
qbittorrent 4.4.3.1-3
qca-qt5 2.3.4-3
qemu-audio-alsa 7.0.0-10
qemu-audio-dbus 7.0.0-10
qemu-audio-jack 7.0.0-10
qemu-audio-oss 7.0.0-10
qemu-audio-pa 7.0.0-10
qemu-audio-sdl 7.0.0-10
qemu-audio-spice 7.0.0-10
qemu-block-curl 7.0.0-10
qemu-block-dmg 7.0.0-10
qemu-block-gluster 7.0.0-10
qemu-block-iscsi 7.0.0-10
qemu-block-nfs 7.0.0-10
qemu-block-rbd 7.0.0-10
qemu-block-ssh 7.0.0-10
qemu-chardev-baum 7.0.0-10
qemu-chardev-spice 7.0.0-10
qemu-common 7.0.0-10
qemu-docs 7.0.0-10
qemu-full 7.0.0-10
qemu-hw-display-qxl 7.0.0-10
qemu-hw-display-virtio-gpu 7.0.0-10
qemu-hw-display-virtio-gpu-gl 7.0.0-10
qemu-hw-display-virtio-gpu-pci 7.0.0-10
qemu-hw-display-virtio-gpu-pci-gl 7.0.0-10
qemu-hw-display-virtio-vga 7.0.0-10
qemu-hw-display-virtio-vga-gl 7.0.0-10
qemu-hw-s390x-virtio-gpu-ccw 7.0.0-10
qemu-hw-usb-host 7.0.0-10
qemu-hw-usb-redirect 7.0.0-10
qemu-hw-usb-smartcard 7.0.0-10
qemu-img 7.0.0-10
qemu-pr-helper 7.0.0-10
qemu-system-aarch64 7.0.0-10
qemu-system-alpha 7.0.0-10
qemu-system-arm 7.0.0-10
qemu-system-avr 7.0.0-10
qemu-system-cris 7.0.0-10
qemu-system-hppa 7.0.0-10
qemu-system-m68k 7.0.0-10
qemu-system-microblaze 7.0.0-10
qemu-system-mips 7.0.0-10
qemu-system-nios2 7.0.0-10
qemu-system-or1k 7.0.0-10
qemu-system-ppc 7.0.0-10
qemu-system-riscv 7.0.0-10
qemu-system-rx 7.0.0-10
qemu-system-s390x 7.0.0-10
qemu-system-sh4 7.0.0-10
qemu-system-sparc 7.0.0-10
qemu-system-tricore 7.0.0-10
qemu-system-x86 7.0.0-10
qemu-system-xtensa 7.0.0-10
qemu-tests 7.0.0-10
qemu-tools 7.0.0-10
qemu-ui-curses 7.0.0-10
qemu-ui-dbus 7.0.0-10
qemu-ui-egl-headless 7.0.0-10
qemu-ui-gtk 7.0.0-10
qemu-ui-opengl 7.0.0-10
qemu-ui-sdl 7.0.0-10
qemu-ui-spice-app 7.0.0-10
qemu-ui-spice-core 7.0.0-10
qemu-user 7.0.0-10
qemu-vhost-user-gpu 7.0.0-10
qemu-virtiofsd 7.0.0-10
qgpgme 1.17.1-1
qhull 2020.2-4
qmltermwidget 0.2.0.git1-1
qpdf 10.6.3-1
qqc2-desktop-style 5.95.0-1
qrencode 4.1.1-1
qt-gstreamer 1.2.0-4
qt5-base 5.15.4+kde+r168-1
qt5-declarative 5.15.4+kde+r19-1
qt5-graphicaleffects 5.15.4+kde+r0-1
qt5-imageformats 5.15.4+kde+r2-1
qt5-location 5.15.4+kde+r2-1
qt5-multimedia 5.15.4+kde+r1-1
qt5-networkauth 5.15.4+kde+r0-1
qt5-quickcontrols 5.15.4+kde+r0-1
qt5-quickcontrols2 5.15.4+kde+r4-1
qt5-script 5.15.10-1
qt5-sensors 5.15.4+kde+r0-1
qt5-speech 5.15.4+kde+r1-1
qt5-svg 5.15.4+kde+r10-1
qt5-tools 5.15.4+kde+r1-1
qt5-translations 5.15.4+kde+r2-1
qt5-virtualkeyboard 5.15.4+kde+r3-1
qt5-wayland 5.15.4+kde+r38-1
qt5-webchannel 5.15.4+kde+r3-1
qt5-webengine 5.15.10-1
qt5-webkit 5.212.0alpha4-14
qt5-x11extras 5.15.4+kde+r0-1
qt5-xmlpatterns 5.15.4+kde+r0-1
qt6-5compat 6.3.0-2
qt6-base 6.3.0-3
qt6-declarative 6.3.0-2
qt6-imageformats 6.3.0-2
qt6-svg 6.3.0-1
qt6-translations 6.3.0-1
qt6-wayland 6.3.0-1
qtile 0.21.0-1
qtkeychain-qt5 0.13.2-1
quazip-qt5 1.3-1
rambox-pro-bin 2.0.6-1
ranger 1.9.3-4
raptor 2.0.15-19
rasqal 1:0.9.33-5
rate-arch-mirrors-bin 0.3.0-1
rate-mirrors-bin 0.10.0-1
rav1e 0.4.1-2
rdesktop 1.9.0-2
re2 1:20220601-1
readline 8.1.002-1
recode 3.7.12-1
redland 1:1.0.17-8
reflector 2021.11-3
reiserfsprogs 3.6.27-3
remmina 1:1.4.26-1
remmina-plugin-anydesk-git 20200414-1
remmina-plugin-rdesktop 1.3.0.0-2
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
rnnoise 0.4.1-1
rofi 1.7.3-1
rp-pppoe 3.15-2
rpcbind 1.2.6-2
rsync 3.2.4-1
rtkit 0.13-1
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 2.0.2-1
ruby 3.0.4-1
ruby-diff-lcs 1.4.4-2
ruby-irb 1.4.1-1
ruby-manpages 0.6.1-4
ruby-optimist 3.0.1-2
ruby-paint 2.2.1-2
ruby-psych 4.0.4-2
ruby-rainbow 3.0.0-6
ruby-rdoc 6.4.0-2
ruby-reline 0.3.1-1
ruby-rspec 3.10.0-1
ruby-rspec-core 3.10.1-1
ruby-rspec-expectations 3.10.1-1
ruby-rspec-mocks 3.10.2-1
ruby-rspec-support 3.10.2-1
ruby-stringio 3.0.2-1
ruby-term-ansicolor 1.7.1-2
ruby-tins 1.31.0-1
rubygems 3.3.15-1
run-parts 5.5-1
rust 1:1.61.0-1
rxvt-unicode 9.26-3
rxvt-unicode-terminfo 9.26-3
samba 4.16.2-1
sane 1.1.1-1
sardi-icons 22.05-02
sbc 1.5-2
screen 4.9.0-1
screenfetch 3.9.1-1
scrot 1.7-1
sddm 0.19.0-8
sddm-config-editor-git 0.1.r87.gc4f5986-1
sdl12-compat 1.2.52-2
sdl2 2.0.22-2
sdl2_image 2.0.5-2
sdl2_mixer 2.0.4-7
sdl2_ttf 2.0.18-1
sdl_image 1.2.12-7
sdl_mixer 1.2.12-11
sdl_net 1.2.8-5
sdl_sound 1.0.3-8
sdl_ttf 2.0.11-6
sdparm 1.12-1
seabios 1.16.0-1
sed 4.8-1
semver 7.3.7-1
serd 0.30.12-2
sg3_utils 1.47-1
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
shell-color-scripts 1.1.r86.fda8b74-1
shotwell 2:0.30.16-2
signon-kwallet-extension 22.04.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
sl 5.05-2
slang 2.3.2-2
slurm 0.4.3-2
smartmontools 7.3-1
smbclient 4.16.2-1
smpeg 0.4.5-5
smpq 1.6-2
snapd 2.56-1
snapd-glib 1.60-1
snappy 1.1.9-2
socat 1.7.4.3-1
solid 5.95.0-1
